Package                    Version     Latest     Type
thinc                      8.0.10      8.0.13     wheel
tifffile                   2019.7.26.2 2021.11.2  wheel
tiledb                     0.10.2      0.10.4     wheel
tiledb-cf                  0.4.2       0.5.0      wheel
tiledb-cloud               0.7.15      0.7.16     wheel
tomli                      1.2.1       1.2.2      wheel
toolz                      0.11.1      0.11.2     wheel
torch                      1.9.1.post3 1.10.0     wheel
torchvision                0.10.0a0    0.11.1     wheel
traitlets                  5.1.0       5.1.1      wheel
tzlocal                    3.0         4.1        wheel
virtualenv                 20.8.1      20.10.0    wheel
wandb                      0.12.4      0.12.6     wheel
Werkzeug                   2.0.1       2.0.2      wheel
widgetsnbextension         3.5.1       3.5.2      wheel
wrapt                      1.12.1      1.13.3     wheel
XlsxWriter                 3.0.1       3.0.2      wheel
yarl                       1.7.0       1.7.2      wheel
